Code,HeroId,LocId,Text,Action,Text RU,Action RU,Text UK,Action UK,Image,Link
1000,hero1,loc01,"Mikey Walsh is up in his attic with his older brother Brand and his three best friends: Chunk, Mouth, and Data. They're desperately looking for something - anything - that they can use to stop the purchase of their homes by Mr. Perkins and the Country Club. Chunk clumsily drops an old picture frame that Mikey's dad, the curator of the local museum, had stored up there. Mikey sweeps off the broken glass and pulls something out of the frame. It's an ancient piece of parchment. It looks like a map and there's a well-worn Spanish doubloon hidden behind it! With his friends huddled around the map, Mikey points to some Spanish text and asks Mouth to translate.
""Ye intruders beware. Crushing death and grief, soaked with blood, of the trespassing thief,"" he says, reciting the words in an ominous tone. Everyone looks at each other wide-eyed except for Brand, who brings the gang crashing back down to reality.
""You guys, this map is old news,"" he scoffs.
""Everybody and their Grandfather went looking for that when our parents were our age. Haven't you ever heard of that guy, what's his name? The pirate guy, One-Eyed Willy?"" ""Oh yeah,""
Mikey responds.
""One-Eyed Willy was the most famous pirate in his time. One-Eyed Willy stole a treasure once. It was full of rubies, and emeralds, and diamonds.""
At the mention of treasure, everyone's ears perk up.
""He loaded it all up onto his ship and they sailed away into the sunset,""
Mikey continues, his friends enraptured with his tale, ""until the British King, see, he found out about it and then he set up this whole armada to go out after him. It took 'em a couple weeks, but then they caught up with Willy and then there was a whole, big war between the armada and Willy's ship, the Inferno. During the firefight there were these guns bursting here and cannons bursting there. Then Willy fled, 'cause he didn't want to stay around, 'cause he knew he'd get killed. Then he got into this cave and the British, they blew up the walls all around him, and he got caved in. He's been there ever since.""
Mikey goes on to recall that his dad told him One-Eyed Willy's pirates were digging tunnels and caves and setting booby traps for years to stop anyone from getting his treasure.
""And then do you know what he did?""
Mikey asks his friends in a hushed tone. They all shake their heads, eager to hear the rest of the story.
""He killed all of his men,""
Mikey says with grim finality. The boys go about the attic, searching for more clues. Chunk finds an old newspaper page about a man named Chester Copperpot who claimed to have the key to One-Eyed Willy's treasure.
""Whoa,"" says Mikey, ""Do you realize what we could do? What if this map could lead to One-Eyed Willy's rich stuff?""
The boys look doubtful, but they're willing to try anything to save their homes. Mikey grabs the map, flips the doubloon and catches it as everybody goes down the stairs. A little later, after they evade Brand's watchful eye, the four boys pedal along the coastline on their bikes, hunting for a pattern of rocks they read about on the treasure map.
""It'll be right around this next curve,"" says Mikey confidently.
""We're looking for three things, I know it. I've got a feeling about this one,"" he says, looking through the holes in the doubloon.",Use the doubloon to find the envelope with the correct pattern and look up the 4-digit number on the outside of it.,"Майки Уолш находится на чердаке со своим старшим братом Брэндом и тремя лучшими друзьями: Чанком, Маутом и Датой. Они отчаянно ищут хоть что-нибудь, что можно использовать, чтобы остановить покупку их домов мистером Перкинсом и загородным клубом. Чанк неуклюже роняет старую рамку для картины, которую хранил там отец Майки, куратор местного музея. Майки сметает разбитое стекло и вытаскивает что-то из рамки. Это древний кусок пергамента. Он похож на карту, а за ним спрятан потертый испанский дублон! Собравшись с друзьями вокруг карты, Майки указывает на какой-то испанский текст и просит Маута перевести.
«Нарушители, берегитесь. Сокрушительная смерть и горе, пропитанные кровью, ждут вора-нарушителя», — говорит он, читая слова зловещим тоном. Все смотрят друг на друга широко раскрытыми глазами, кроме Брэнда, который спускает банду с небес на землю.
«Ребята, эта карта — старая новость», — насмехается он.
«Все и их дедушки ходили искать это, когда наши родители были нашего возраста. Вы что, никогда не слышали об этом парне, как бишь его? Пират Одноглазый Вилли?» «О да, — отвечает Майки. — Одноглазый Вилли был самым известным пиратом своего времени. Однажды Одноглазый Вилли украл сокровища. Там было полно рубинов, изумрудов и бриллиантов». При упоминании сокровищ все навостряют уши.
«Он погрузил все это на свой корабль, и они уплыли в закат, — продолжает Майки, а его друзья увлечены рассказом, — пока британский король, видите ли, не узнал об этом и не послал за ним целую армаду. У них ушло пару недель, но потом они нагнали Вилли, и началась большая война между армадой и кораблем Вилли, „Инферно“. Во время перестрелки пушки палили здесь, пушки палили там. Потом Вилли сбежал, потому что не хотел оставаться, ведь знал, что его убьют. Тогда он попал в эту пещеру, а британцы взорвали стены вокруг него, и его завалило. С тех пор он там». Майки продолжает вспоминать, что его отец рассказывал ему, как пираты Одноглазого Вилли годами рыли туннели, пещеры и устанавливали мины-ловушки, чтобы никто не добрался до его сокровищ.
«И знаете, что он потом сделал?» — спрашивает Майки друзей приглушенным тоном. Все качают головами, желая услышать продолжение истории.
«Он убил всех своих людей», — с мрачной окончательностью произносит Майки. Мальчики продолжают обыскивать чердак в поисках новых улик. Чанк находит старую газетную вырезку о человеке по имени Честер Копперпот, который утверждал, что у него есть ключ к сокровищам Одноглазого Вилли.
«Ого, — говорит Майки, — Вы понимаете, что мы могли бы сделать? Что, если эта карта может привести к богатствам Одноглазого Вилли?»
Мальчики выглядят сомневающимися, но они готовы попробовать что угодно, чтобы спасти свои дома. Майки хватает карту, подбрасывает дублон и ловит его, пока все спускаются по лестнице. Немного позже, ускользнув от бдительного ока Брэнда, четверо мальчиков едут на велосипедах вдоль береговой линии в поисках комбинации скал, о которых они прочитали на карте сокровищ.
«Это будет прямо за следующим поворотом», — уверенно говорит Майки.
«Мы ищем три вещи, я знаю это. У меня есть предчувствие насчет этого места», — говорит он, глядя сквозь отверстия в дублоне.","Используйте дублон, чтобы найти конверт с правильным узором, и посмотрите 4-значный номер снаружи него.","Майкі Волш знаходиться на горищі зі своїм старшим братом Брендом та трьома найкращими друзями: Чанком, Маутом і Датою. Вони відчайдушно шукають хоч що-небудь, що можна використати, щоб зупинити купівлю їхніх будинків містером Перкінсом і заміським клубом. Чанк незграбно впускає стару раму для картини, яку зберігав там батько Майкі, куратор місцевого музею. Майкі змітає розбите скло і витягує щось із рами. Це стародавній шматок пергаменту. Він схожий на карту, а за ним захований потертий іспанський дублон! Зібравшись із друзями навколо карти, Майкі вказує на якийсь іспанський текст і просить Маута перекласти.
«Порушники, стережіться. Нищівна смерть і горе, просочені кров'ю, чекають на крадія-порушника», — каже він, читаючи слова зловісним тоном. Усі дивляться одне на одного широко розплющеними очима, крім Бренда, який спускає банду з небес на землю.
«Хлопці, ця карта — стара новина», — глузує він.
«Усі та їхні дідусі ходили шукати це, коли наші батьки були нашого віку. Ви що, ніколи не чули про цього хлопця, як його там? Пірат Одноокий Віллі?» «О так, — відповідає Майкі. — Одноокий Віллі був найвідомішим піратом свого часу. Одного разу Одноокий Віллі вкрав скарби. Там було повно рубінів, смарагдів і діамантів». Згадка про скарби привертає увагу всіх.
«Він повантажив усе це на свій корабель, і вони попливли в захід сонця, — продовжує Майкі, а його друзі захоплені розповіддю, — поки британський король, бачите, не дізнався про це і не послав за ним цілу армаду. Їм знадобилося кілька тижнів, але потім вони наздогнали Віллі, і почалася велика війна між армадою і кораблем Віллі, „Інферно“. Під час перестрілки гармати палили тут, гармати палили там. Потім Віллі втік, бо не хотів залишатися, адже знав, що його вб'ють. Тоді він потрапив у цю печеру, а британці підірвали стіни навколо нього, і його завалило. Відтоді він там». Майкі продовжує згадувати, що його батько розповідав йому, як пірати Одноокого Віллі роками рили тунелі, печери і встановлювали міни-пастки, щоб ніхто не дістався його скарбів.
«І знаєте, що він потім зробив?» — запитує Майкі друзів приглушеним тоном. Всі хитають головами, бажаючи почути продовження історії.
«Він убив усіх своїх людей», — з похмурою остаточністю вимовляє Майкі. Хлопчики продовжують обшукувати горище в пошуках нових доказів. Чанк знаходить стару газетну вирізку про чоловіка на ім'я Честер Копперпот, який стверджував, що має ключ до скарбів Одноокого Віллі.
«Ого, — каже Майкі, — Ви розумієте, що ми могли б зробити? Що, як ця карта може привести до багатств Одноокого Віллі?»
Хлопчики виглядають сумнівними, але вони готові спробувати що завгодно, щоб врятувати свої домівки. Майкі хапає карту, підкидає дублон і ловить його, поки всі спускаються сходами. Трохи згодом, вислизнувши від пильного ока Бренда, четверо хлопчиків їдуть на велосипедах уздовж берегової лінії в пошуках комбінації скель, про які вони прочитали на карті скарбів.
«Це буде відразу за наступним поворотом», — впевнено каже Майкі.
«Ми шукаємо три речі, я знаю це. У мене є передчуття щодо цього місця», — каже він, дивлячись крізь отвори в дублоні.","Використовуйте дублон, щоб знайти конверт з правильним візерунком, та подивіться 4-значний номер зовні нього.",,
1069,hero1,loc02,"Mikey looks at the key.
""Here goes nothing!"" he says as he turns the key clockwise.
""Westward foams, Mikey!"" says Mouth, impatiently.
""Yeah,"" agrees Data, looking over Mikey's shoulder.
""Westward is counterclockwise!"" he informs Mikey, pointing to the key.",Move the Fratellis forward one space.,"Майки смотрит на ключ.
«Была не была!» — говорит он, поворачивая ключ по часовой стрелке.
«На запад пенится, Майки!» — нетерпеливо говорит Маут.
«Да», — соглашается Дата, заглядывая через плечо Майки.
«На запад — это против часовой стрелки!» — сообщает он Майки, указывая на ключ.",Передвиньте Фрателли вперёд на одну клетку.,"Майкі дивиться на ключ.
«Була не була!» — каже він, повертаючи ключ за годинниковою стрілкою.
«На захід піниться, Майкі!» — нетерпляче каже Маут.
«Так», — погоджується Дата, зазираючи через плече Майкі.
«На захід — це проти годинникової стрілки!» — повідомляє він Майкі, вказуючи на ключ.",Пересуньте Фрателлі вперед на одну клітинку.,,
1101,hero1,loc03,"""Hey Brand, do you think that wrench could come in handy?"" asks Mikey.",,"«Эй, Брэнд, как думаешь, этот гаечный ключ может пригодиться?» — спрашивает Майки.",,"«Гей, Бренде, як гадаєш, цей гайковий ключ може стати в пригоді?» — запитує Майкі.",,,
1102,hero1,loc08,"Mikey squints at a skeleton crushed beneath the rock.
""This is one of your tricks, isn't it One-Eyed Willy? You wouldn't have gone through all this trouble if you weren't really hiding something, would you?"" ""I think that's Chester Copperpot,"" says Data.
""Chester who?"" asks Mouth.
""Don't you remember? From the attic...""
Data says, trying to jog his friends' memories.
""See,"" he continues, ""they said the last guy who went looking for the rich stuff...they say he went in, but he never came back out. See, that was back in 1935. Oh God, if he didn't make it out, and he was supposed to be an expert, what about us? How are we going to get out of here, huh?"" ""Hey, what's that around his neck? Looks like some sort of key,""
Mikey interrupts.",,"Майки щурится на скелет, раздавленный камнем.
«Это одна из твоих проделок, не так ли, Одноглазый Вилли? Ты бы не стал так заморачиваться, если бы действительно что-то не прятал, верно?» «Я думаю, это Честер Копперпот», — говорит Дата.
«Честер кто?» — спрашивает Маут.
«Разве не помните? На чердаке...» — говорит Дата, пытаясь освежить память друзей.
«Смотрите, — продолжает он, — говорили, что последний парень, который отправился искать богатства... говорят, он вошел, но так и не вышел. Понимаете, это было еще в 1935 году. О Боже, если он не выбрался, а он должен был быть экспертом, то что с нами будет? Как мы выберемся отсюда, а?» «Эй, что это у него на шее? Похоже на какой-то ключ», — перебивает Майки.",,"Майкі мружиться на скелет, розчавлений каменем.
«Це одна з твоїх витівок, чи не так, Одноокий Віллі? Ти б не став так морочитися, якби справді щось не ховав, правда?» «Я думаю, це Честер Копперпот», — каже Дата.
«Честер хто?» — запитує Маут.
«Хіба не пам'ятаєте? На горищі...» — каже Дата, намагаючись освіжити пам'ять друзів.
«Дивіться, — продовжує він, — казали, що останній хлопець, який відправився шукати багатства... кажуть, він увійшов, але так і не вийшов. Розумієте, це було ще в 1935 році. О Боже, якщо він не вибрався, а він мав би бути експертом, то що з нами буде? Як ми виберемося звідси, га?» «Гей, що це в нього на шиї? Схоже на якийсь ключ», — перебиває Майкі.",,,
1103,hero1,loc04,"""Woah, check out this floor. What do all these symbols mean?"" ponders Mikey. The floor is reminiscent of a checkerboard. In one corner, there is a box seemingly carved out of stone with bars in front of it. In another corner, two stone discs lie forgotten on the floor. Upon closer examination, each white space on the checkerboard seems to have both an image and a slot.
""That slot looks about the right size for those discs,""
Mikey says, appraising them with a keen eye.
""But how do we know what slot to use them in?"" asks Data.
""If we put them in the wrong slot, I bet that would trigger a booby trap and we don't want that to happen!""",Reveal card 30.,"«Ничего себе, зацените этот пол. Что означают все эти символы?» — размышляет Майки. Пол напоминает шахматную доску. В одном углу стоит коробка, словно вырезанная из камня, с решеткой спереди. В другом углу на полу лежат забытые два каменных диска. При ближайшем рассмотрении на каждой белой клетке шахматной доски есть и изображение, и прорезь.
«Эта прорезь как раз подходящего размера для тех дисков», — говорит Майки, оценивая их зорким взглядом.
«Но как мы узнаем, в какую прорезь их вставить?» — спрашивает Дата.
«Если мы вставим их не в ту прорезь, готов поспорить, это активирует ловушку, а мы ведь не хотим, чтобы это случилось!»",Откройте карту 30.,"«Ого, зацініть цю підлогу. Що означають усі ці символи?» — розмірковує Майкі. Підлога нагадує шахівницю. В одному кутку стоїть коробка, ніби вирізана з каменю, з решіткою спереду. В іншому кутку на підлозі лежать забуті два кам'яні диски. При найближчому розгляді на кожній білій клітинці шахівниці є і зображення, і проріз.
«Цей проріз якраз відповідного розміру для тих дисків», — каже Майкі, оцінюючи їх пильним поглядом.
«Але як ми дізнаємося, в який проріз їх вставити?» — запитує Дата.
«Якщо ми вставимо їх не в той проріз, готовий посперечатися, це активує пастку, а ми ж не хочемо, щоб це сталося!»",Відкрийте картку 30.,,
1104,hero1,loc02,"Mikey spies coins glittering in the water.
""We found it!"" cries Mikey, exuberantly.
""We found the gold!"" ""Rich stuff!"" exclaims Mouth, picking up a bunch of coins. The group's exuberance is short-lived, sadly, as they quickly realize that these aren't the coins they are looking for - they're just regular old American coins, not Spanish doubloons. However, it's still money they could use to save the Goondocks, so everyone starts shoving handfulls of coins into their pockets.
""Wait, wait, wait. Stop. Stop,""
Stef calls out to her friends.
""You can't do this."" ""Why?"" everyone asks in unison.
""Because, this is the bottom of the Wishing Well. These are somebody else's wishes,""
Stef responds.
""They're somebody else's dreams.""
Mouth holds up a single coin, glaring at it intensely.
""Yeah, but you know what?"" he says to Stef.
""This one, this one right here, this was my dream, my wish, and it didn't come true. So I'm takin' it back. I'm takin' 'em all back,"" he says before diving underwater to go after more coins. Mouth comes back up for air.
""Hey Brand, I think you are stepping on something,"" he says.",,"Майки замечает монеты, блестящие в воде.
«Мы нашли его!» — радостно кричит Майки.
«Мы нашли золото!» «Богатства!» — восклицает Маут, собирая горсть монет. Радость группы, к сожалению, длится недолго, так как они быстро понимают, что это не те монеты, которые они ищут — это просто обычные старые американские монеты, а не испанские дублоны. Тем не менее, это все еще деньги, которые они могли бы использовать для спасения Гундокса, поэтому все начинают запихивать монеты в карманы горстями.
«Подождите, подождите, подождите. Стоп. Стоп», — окликает своих друзей Стеф.
«Вы не можете этого делать».
«Почему?» — в один голос спрашивают все.
«Потому что это дно Колодца Желаний. Это чьи-то чужие желания», — отвечает Стеф.
«Это чужие мечты». Маут держит одну монету, пристально глядя на нее.
«Да, но знаешь что?» — говорит он Стеф.
«Вот эта, вот прямо эта, это была моя мечта, мое желание, и оно не сбылось. Так что я забираю ее обратно. Я заберу их все», — говорит он, прежде чем нырнуть под воду за новыми монетами. Маут выныривает, чтобы набрать воздуха.
«Эй, Брэнд, мне кажется, ты на что-то наступил», — говорит он.",,"Майкі помічає монети, що блищать у воді.
«Ми знайшли його!» — радісно кричить Майкі.
«Ми знайшли золото!» «Багатства!» — вигукує Маут, збираючи жменю монет. Радість групи, на жаль, триває недовго, оскільки вони швидко розуміють, що це не ті монети, які вони шукають — це просто звичайні старі американські монети, а не іспанські дублони. Тим не менш, це все ще гроші, які вони могли б використати для порятунку Гундокса, тому всі починають запихати монети в кишені жменями.
«Зачекайте, зачекайте, зачекайте. Стоп. Стоп», — гукає своїх друзів Стеф.
«Ви не можете цього робити».
«Чому?» — в один голос запитують усі.
«Тому що це дно Колодязя Бажань. Це чиїсь чужі бажання», — відповідає Стеф.
«Це чужі мрії». Маут тримає одну монету, пильно дивлячись на неї.
«Так, але знаєш що?» — каже він Стеф.
«Ось ця, ось прямо ця, це була моя мрія, моє бажання, і воно не збулося. Тож я забираю її назад. Я заберу їх усі», — каже він, перш ніж пірнути під воду за новими монетами. Маут виринає, щоб набрати повітря.
«Гей, Бренде, мені здається, ти на щось наступив», — каже він.",,,
1107,hero1,loc05,"""That is a seriously spooky instrument! It's made out of bones and stuff. Like, real bones!"" exclaims Mikey as he tentatively reaches out to touch the relic.
""Don't touch that, limp-lungs!"" says Brand, as he slaps Mikey's hand away.
""You don't know where that's been!""",Open the Cannon Beach Dunes envelope.,"«Это действительно жуткий инструмент! Он сделан из костей и прочего. Типа, настоящих костей!» — восклицает Майки, нерешительно протягивая руку, чтобы коснуться реликвии.
«Не трогай это, дохляк!» — говорит Брэнд, отбивая руку Майки.
«Ты не знаешь, где это побывало!»",Откройте конверт Cannon Beach Dunes.,"«Це дійсно моторошний інструмент! Він зроблений з кісток і таке інше. Типу, справжніх кісток!» — вигукує Майкі, нерішуче простягаючи руку, щоб торкнутися реліквії.
«Не чіпай це, дохляк!» — каже Бренд, відбиваючи руку Майкі.
«Ти не знаєш, де це побувало!»",Відкрийте конверт Cannon Beach Dunes.,,
1109,hero1,loc13,"""Oh wow... it's the Inferno!""
Mikey says in awe.
""Look everyone, we can climb up the rigging there.""","Attach the Inferno (Map H) so that it aligns to the stern (Map G). 
Move the Fratellis two spaces forward.","«Ого... это же «Инферно»!» — с благоговением говорит Майки.
«Смотрите все, мы можем забраться вон туда по снастям».","Присоедините «Инферно» (карта H) так, чтобы оно совпадало с кормой (карта G). Передвиньте Фрателли на две клетки вперед.","«Ого... це ж «Інферно»!» — з благоговінням каже Майкі.
«Дивіться всі, ми можемо залізти он туди по снастях».","Приєднайте «Інферно» (карта H) так, щоб воно збігалося з кормою (карта G). Пересуньте Фрателлі на дві клітинки вперед.",,
1138,hero1,loc04,"""How many runs do you think that Lou Gehrig scored in 1933? Mikey asks Data. Data shrugs.
""If it's not about James Bond, I don't care,"" he says, dismissively.
""138!"" says Mikey, even though Data is no longer paying attention.",,"«Как ты думаешь, сколько пробежек сделал Лу Гериг в 1933 году?» — спрашивает Майки у Даты. Дата пожимает плечами.
«Если это не о Джеймсе Бонде, меня это не волнует», — пренебрежительно говорит он.
«138!» — говорит Майки, хотя Дата уже не обращает на него внимания.",,"«Як ти гадаєш, скільки пробіжок зробив Лу Геріг у 1933 році?» — запитує Майкі в Дати. Дата знизує плечима.
«Якщо це не про Джеймса Бонда, мене це не обходить», — зневажливо каже він.
«138!» — каже Майкі, хоча Дата вже не звертає на нього уваги.",,,
1150,hero1,loc06,Do the holes in the doubloon match up with any of the landscapes pictured on the envelopes?,,"Совпадают ли отверстия в дублоне с каким-либо из пейзажей, изображенных на конвертах?",,"Чи збігаються отвори в дублоні з будь-яким із пейзажів, зображених на конвертах?",,,
